start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime
1583020800000,7842,4528,4883,2020-03-01 00:00:00
1583024400000,7464,5055,3885,2020-03-01 01:00:00
1583028000000,10995,8787,4291,2020-03-01 02:00:00
1583031600000,7635,5043,3923,2020-03-01 03:00:00
1583035200000,7461,5156,3842,2020-03-01 04:00:00
1583038800000,7336,5229,3666,2020-03-01 05:00:00
1583042400000,7404,4871,3846,2020-03-01 06:00:00
1583046000000,9479,7200,4053,2020-03-01 07:00:00
1583049600000,10918,8219,4535,2020-03-01 08:00:00
1583053200000,9153,6454,4342,2020-03-01 09:00:00
1583056800000,8231,5756,4017,2020-03-01 10:00:00
1583060400000,8498,5884,4330,2020-03-01 11:00:00
1583064000000,8780,6084,4422,2020-03-01 12:00:00
1583067600000,8953,6263,4490,2020-03-01 13:00:00
1583071200000,10263,7591,4495,2020-03-01 14:00:00
1583074800000,9897,7234,4487,2020-03-01 15:00:00
1583078400000,10504,7490,4802,2020-03-01 16:00:00
1583082000000,10931,7924,5043,2020-03-01 17:00:00
1583085600000,10780,8387,4264,2020-03-01 18:00:00
1583089200000,8985,6294,4467,2020-03-01 19:00:00
1583092800000,12046,9295,4548,2020-03-01 20:00:00
1583096400000,8589,5681,4528,2020-03-01 21:00:00
1583100000000,7151,5230,3510,2020-03-01 22:00:00
1583103600000,6439,4481,3236,2020-03-01 23:00:00
1583107200000,6911,4638,3771,2020-03-02 00:00:00
1583110800000,8064,6000,3692,2020-03-02 01:00:00
1583114400000,11445,9121,4362,2020-03-02 02:00:00
1583118000000,9248,6580,4312,2020-03-02 03:00:00
1583121600000,7528,5304,3614,2020-03-02 04:00:00
1583125200000,8253,5856,3955,2020-03-02 05:00:00
1583128800000,9768,7154,4302,2020-03-02 06:00:00
1583132400000,10809,8044,4847,2020-03-02 07:00:00
1583136000000,11554,8631,4970,2020-03-02 08:00:00
1583139600000,12136,8349,5803,2020-03-02 09:00:00
1583143200000,9622,6834,4733,2020-03-02 10:00:00
1583146800000,9413,6468,4846,2020-03-02 11:00:00
1583150400000,10680,7007,5606,2020-03-02 12:00:00
1583154000000,11719,7606,6317,2020-03-02 13:00:00
1583157600000,13656,8220,7653,2020-03-02 14:00:00
1583161200000,15431,7796,9889,2020-03-02 15:00:00
1583164800000,14168,6817,9447,2020-03-02 16:00:00
1583168400000,11088,7117,6383,2020-03-02 17:00:00
1583172000000,13857,6044,9756,2020-03-02 18:00:00
1583175600000,13474,5369,10074,2020-03-02 19:00:00
1583179200000,8292,4956,5185,2020-03-02 20:00:00
1583182800000,7138,4904,4049,2020-03-02 21:00:00
1583186400000,7278,5132,3930,2020-03-02 22:00:00
1583190000000,7229,4928,3883,2020-03-02 23:00:00
1583193600000,6735,4482,3732,2020-03-03 00:00:00
1583197200000,8082,5739,3832,2020-03-03 01:00:00
1583200800000,11889,9367,4712,2020-03-03 02:00:00
1583204400000,8798,5675,4716,2020-03-03 03:00:00
1583208000000,8322,5711,4118,2020-03-03 04:00:00
1583211600000,8683,6234,3976,2020-03-03 05:00:00
1583215200000,9502,6560,4528,2020-03-03 06:00:00
1583218800000,10667,8037,4603,2020-03-03 07:00:00
1583222400000,12698,9413,5574,2020-03-03 08:00:00
1583226000000,10690,7798,4923,2020-03-03 09:00:00
1583229600000,9583,6665,4823,2020-03-03 10:00:00
1583233200000,9592,6695,4821,2020-03-03 11:00:00
1583236800000,10837,7262,5601,2020-03-03 12:00:00
1583240400000,11385,7819,5713,2020-03-03 13:00:00
1583244000000,10986,7125,6004,2020-03-03 14:00:00
1583247600000,11033,7194,6291,2020-03-03 15:00:00
1583251200000,9806,6609,5387,2020-03-03 16:00:00
1583254800000,9324,6509,4846,2020-03-03 17:00:00
1583258400000,8769,5706,5010,2020-03-03 18:00:00
1583262000000,8149,5339,4620,2020-03-03 19:00:00
1583265600000,7704,5195,4379,2020-03-03 20:00:00
1583269200000,7399,4987,4142,2020-03-03 21:00:00
1583272800000,6875,4545,3899,2020-03-03 22:00:00
1583276400000,7373,5157,3702,2020-03-03 23:00:00
1583280000000,7401,5043,3966,2020-03-04 00:00:00
1583283600000,7559,5286,3760,2020-03-04 01:00:00
1583287200000,11758,9178,4952,2020-03-04 02:00:00
1583290800000,8568,5885,4441,2020-03-04 03:00:00
1583294400000,8353,5889,3981,2020-03-04 04:00:00
1583298000000,8646,6227,3982,2020-03-04 05:00:00
