start_time,close,datetime,high,low,open,volume
1583020800000,218.36,2020-03-01 00:00:00,221.27,216.94,217.29,35143.18824
1583024400000,223.6,2020-03-01 01:00:00,223.86,216.1,218.39,49988.08953
1583028000000,223.37,2020-03-01 02:00:00,225.69,222.76,223.56,33866.73533
1583031600000,223.6,2020-03-01 03:00:00,225.5,223.01,223.38,18297.31832
1583035200000,222.45,2020-03-01 04:00:00,224.87,221.69,223.6,19805.25822
1583038800000,222.5,2020-03-01 05:00:00,222.78,220.0,222.45,24981.41157
1583042400000,220.34,2020-03-01 06:00:00,222.7,219.84,222.5,19940.97944
1583046000000,220.01,2020-03-01 07:00:00,221.09,218.7,220.38,17808.78845
1583049600000,219.71,2020-03-01 08:00:00,222.9,219.24,220.02,33259.41092
1583053200000,219.18,2020-03-01 09:00:00,221.49,218.9,219.74,13725.19324
1583056800000,221.18,2020-03-01 10:00:00,221.78,219.18,219.18,13026.95317
1583060400000,224.3,2020-03-01 11:00:00,224.7,220.46,221.18,23930.23021
1583064000000,221.64,2020-03-01 12:00:00,227.89,221.23,224.32,58843.68013
1583067600000,222.3,2020-03-01 13:00:00,223.4,219.61,221.64,38460.01027
1583071200000,220.42,2020-03-01 14:00:00,223.21,220.06,222.28,17291.96649
1583074800000,220.38,2020-03-01 15:00:00,221.9,219.65,220.44,19117.45419
1583078400000,217.56,2020-03-01 16:00:00,221.45,214.66,220.41,76229.85681
1583082000000,215.99,2020-03-01 17:00:00,217.58,214.5,217.49,36654.90014
1583085600000,212.95,2020-03-01 18:00:00,216.02,212.88,215.97,26961.11381
1583089200000,216.34,2020-03-01 19:00:00,217.62,212.36,212.92,35994.72058
1583092800000,214.52,2020-03-01 20:00:00,217.04,214.5,216.34,16189.56486
1583096400000,215.22,2020-03-01 21:00:00,215.26,213.58,214.55,17448.18685
1583100000000,218.97,2020-03-01 22:00:00,219.59,215.04,215.27,23701.36073
1583103600000,217.81,2020-03-01 23:00:00,221.32,217.61,219.0,44349.64791
1583107200000,218.92,2020-03-02 00:00:00,219.95,216.07,217.81,36373.20449
1583110800000,219.12,2020-03-02 01:00:00,219.37,216.48,218.92,23510.9745
1583114400000,221.19,2020-03-02 02:00:00,222.23,218.41,219.12,34106.3426
1583118000000,218.8,2020-03-02 03:00:00,221.97,218.68,221.23,28571.28339
1583121600000,221.1,2020-03-02 04:00:00,221.38,218.67,218.78,23921.60728
